data,preco_soja_brl,dolar_ptax,var_soja_pct,var_dolar_pct,media_movel_30d,media_movel_90d,mes,status_safra,Ano
2022-12-21,175.43,5.198400020599365,-0.6625141562853876,-1.7612858634855844,180.1966666666667,180.81833333333333,12,1. Plantio (Risco),2022
2022-12-22,174.79,5.199900150299072,-0.3648178760759402,0.02885752719610224,179.91033333333334,180.71544444444444,12,1. Plantio (Risco),2022
2022-12-23,174.23,5.165599822998047,-0.32038446135362886,-0.6596343450758879,179.56599999999997,180.64777777777778,12,1. Plantio (Risco),2022
2022-12-26,174.68,5.164299964904785,0.2582792860012617,-0.02516373969726482,179.22400000000002,180.5992222222222,12,1. Plantio (Risco),2022
2022-12-27,176.37,5.21750020980835,0.9674833982138864,1.0301540434347167,178.93966666666665,180.57188888888888,12,1. Plantio (Risco),2022
2022-12-28,176.72,5.292300224304199,0.19844644780857568,1.4336370194146575,178.67933333333335,180.54355555555554,12,1. Plantio (Risco),2022
2022-12-29,176.56,5.2667999267578125,-0.09053870529651675,-0.48183769751534156,178.43066666666667,180.5087777777778,12,1. Plantio (Risco),2022
2023-01-02,176.37,5.2855000495910645,-0.10761214318079082,0.35505663957817735,178.24233333333333,180.44733333333335,1,2. Desenvolvimento,2023
2023-01-03,177.96,5.360130786895752,0.9015138629018482,1.4119900975208877,178.12366666666668,180.38255555555557,1,2. Desenvolvimento,2023
2023-01-04,178.33,5.478499889373779,0.20791189031243995,2.2083248932546873,178.03400000000002,180.3351111111111,1,2. Desenvolvimento,2023
2023-01-05,176.86,5.430099964141846,-0.8243144731677199,-0.8834521531306594,177.89166666666668,180.25355555555555,1,2. Desenvolvimento,2023
2023-01-06,174.15,5.349800109863281,-1.5322854234988137,-1.4787914552003012,177.66833333333335,180.14600000000002,1,2. Desenvolvimento,2023
2023-01-09,173.35,5.224400043487549,-0.4593741027849596,-2.344014052871546,177.399,180.03455555555553,1,2. Desenvolvimento,2023
2023-01-10,172.39,5.253699779510498,-0.5537929045284162,0.5608248943239413,177.10066666666668,179.94511111111112,1,2. Desenvolvimento,2023
2023-01-11,171.09,5.198299884796143,-0.7541040663611498,-1.0544929676114312,176.766,179.80755555555555,1,2. Desenvolvimento,2023
2023-01-12,170.67,5.1585001945495605,-0.24548483254428488,-0.7656289773313563,176.47166666666666,179.6621111111111,1,2. Desenvolvimento,2023
2023-01-13,171.34,5.107699871063232,0.3925704576082545,-0.9847886317810639,176.27933333333334,179.5218888888889,1,2. Desenvolvimento,2023
2023-01-16,170.5,5.080699920654297,-0.4902532975370577,-0.5286127041625677,176.143,179.37055555555557,1,2. Desenvolvimento,2023
2023-01-17,170.9,5.145999908447266,0.23460410557185618,1.2852557484748894,175.9646666666667,179.23922222222222,1,2. Desenvolvimento,2023
2023-01-18,170.73,5.099599838256836,-0.09947337624343078,-0.9016725809548265,175.68366666666668,179.13155555555556,1,2. Desenvolvimento,2023
2023-01-19,171.1,5.185299873352051,0.2167164528788179,1.6805247041601135,175.431,179.04233333333332,1,2. Desenvolvimento,2023
2023-01-20,171.05,5.172999858856201,-0.02922267679718038,-0.23720931857887928,175.15299999999996,178.92444444444442,1,2. Desenvolvimento,2023
2023-01-23,169.07,5.206299781799316,-1.1575562700964714,0.6437255722345547,174.79066666666668,178.76566666666668,1,2. Desenvolvimento,2023
2023-01-24,168.14,5.205900192260742,-0.5500680191636631,-0.007675115827388002,174.3923333333333,178.60744444444444,1,2. Desenvolvimento,2023
2023-01-25,165.13,5.138400077819824,-1.7901748542880846,-1.2966079246249484,173.947,178.41944444444445,1,2. Desenvolvimento,2023
2023-01-26,163.78,5.072199821472168,-0.817537697571602,-1.288343751850174,173.41133333333335,178.22077777777778,1,2. Desenvolvimento,2023
2023-01-27,164.53,5.062745094299316,0.4579313713518163,-0.18640289234715945,172.95433333333332,178.0262222222222,1,2. Desenvolvimento,2023
2023-01-30,165.51,5.1072001457214355,0.5956360542150207,0.8780819613489088,172.544,177.85688888888888,1,2. Desenvolvimento,2023
2023-01-31,166.13,5.1149001121521,0.3745997220711672,0.15076688226356438,172.14866666666663,177.67866666666666,1,2. Desenvolvimento,2023
2023-02-01,165.71,5.072199821472168,-0.25281406127730666,-0.8348215946286652,171.78566666666666,177.50033333333332,2,2. Desenvolvimento,2023
2023-02-02,164.19,5.053500175476074,-0.917265101683673,-0.3686693477045644,171.411,177.33,2,2. Desenvolvimento,2023
2023-02-03,164.64,5.049200057983398,0.2740727206285376,-0.08509186392321455,171.07266666666663,177.14922222222222,2,2. Desenvolvimento,2023
2023-02-06,166.33,5.149799823760986,1.026482021380004,1.9923901731429217,170.80933333333334,176.98722222222221,2,2. Desenvolvimento,2023
2023-02-07,166.6,5.145699977874756,0.16232790236276884,-0.07961175242801044,170.54,176.8432222222222,2,2. Desenvolvimento,2023
2023-02-08,166.4,5.2093000411987305,-0.12004801920767472,1.2359846784196327,170.20766666666668,176.67388888888888,2,2. Desenvolvimento,2023
2023-02-09,166.78,5.19950008392334,0.22836538461539213,-0.18812426233631996,169.87633333333332,176.5081111111111,2,2. Desenvolvimento,2023
2023-02-10,167.62,5.2895002365112305,0.5036575128912313,1.7309385736172578,169.57833333333335,176.40377777777775,2,2. Desenvolvimento,2023
2023-02-13,167.59,5.213482856750488,-0.017897625581675403,-1.4371372787929104,169.28566666666666,176.33533333333332,2,2. Desenvolvimento,2023
2023-02-14,166.22,5.158400058746338,-0.8174712094993764,-1.056545106556328,168.89433333333335,176.25722222222223,2,2. Desenvolvimento,2023
2023-02-15,165.71,5.191500186920166,-0.3068222837203649,0.6416743136799852,168.47366666666665,176.1698888888889,2,2. Desenvolvimento,2023
2023-02-16,166.11,5.2179999351501465,0.2413855530746467,0.5104449056314353,168.11533333333333,176.07433333333333,2,2. Desenvolvimento,2023
2023-02-17,166.41,5.216800212860107,0.1806032147372072,-0.022991995112098262,167.85733333333334,175.94588888888887,2,2. Desenvolvimento,2023
2023-02-22,166.05,5.166500091552734,-0.21633315305569223,-0.9641948944752898,167.614,175.8121111111111,2,2. Desenvolvimento,2023
2023-02-23,163.65,5.151199817657471,-1.445347786811202,-0.29614388123750945,167.32266666666663,175.60022222222221,2,2. Desenvolvimento,2023
2023-02-24,163.61,5.136199951171875,-0.024442407577141,-0.29119170322569055,167.07333333333335,175.3762222222222,2,2. Desenvolvimento,2023
2023-02-27,164.32,5.207799911499023,0.4339588044740328,1.3940259531915578,166.86166666666668,175.16644444444444,2,2. Desenvolvimento,2023
2023-02-28,162.15,5.199699878692627,-1.320593962999017,-0.1555365594694047,166.55533333333332,174.94500000000002,2,2. Desenvolvimento,2023
2023-03-01,161.36,5.235899925231934,-0.487203206907183,0.6961949224732589,166.2506666666667,174.7311111111111,3,3. Colheita (Oferta Alta),2023
2023-03-02,161.98,5.178299903869629,0.3842340109072806,-1.1000978281637597,165.95333333333332,174.52433333333335,3,3. Colheita (Oferta Alta),2023
2023-03-03,162.88,5.1996002197265625,0.5556241511297744,0.41133801155504024,165.69166666666666,174.33633333333333,3,3. Colheita (Oferta Alta),2023
2023-03-06,162.45,5.194399833679199,-0.26399803536346633,-0.10001511323185497,165.4033333333333,174.14411111111113,3,3. Colheita (Oferta Alta),2023
2023-03-07,161.93,5.152200222015381,-0.3200984918436345,-0.8124059182007204,165.09933333333336,173.92955555555557,3,3. Colheita (Oferta Alta),2023
2023-03-08,161.2,5.190000057220459,-0.45081207929352773,0.7336639411558377,164.837,173.696,3,3. Colheita (Oferta Alta),2023
2023-03-09,159.73,5.144400119781494,-0.91191066997518,-0.8786115016612639,164.5566666666667,173.43544444444444,3,3. Colheita (Oferta Alta),2023
2023-03-10,159.34,5.163700103759766,-0.244162023414507,0.3751649080338426,164.36366666666666,173.1687777777778,3,3. Colheita (Oferta Alta),2023
2023-03-13,159.32,5.21560001373291,-0.01255177607631941,1.0050914834375257,164.215,172.901,3,3. Colheita (Oferta Alta),2023
2023-03-14,159.17,5.245699882507324,-0.09415013808686812,0.5771122918774463,164.03633333333335,172.63366666666664,3,3. Colheita (Oferta Alta),2023
2023-03-15,159.58,5.251699924468994,0.25758622856066893,0.11438019894500773,163.83866666666665,172.37688888888889,3,3. Colheita (Oferta Alta),2023
2023-03-16,158.9,5.287099838256836,-0.4261185612232099,0.6740658129171573,163.59766666666667,172.12155555555557,3,3. Colheita (Oferta Alta),2023
2023-03-17,156.66,5.229599952697754,-1.4096916299559559,-1.0875505914039962,163.296,171.83955555555556,3,3. Colheita (Oferta Alta),2023
2023-03-20,155.0,5.2778000831604,-1.059619558279079,0.9216791130989277,162.98966666666666,171.53244444444445,3,3. Colheita (Oferta Alta),2023
2023-03-21,153.84,5.2357001304626465,-0.7483870967741946,-0.797679943052032,162.62966666666668,171.20422222222223,3,3. Colheita (Oferta Alta),2023
2023-03-22,151.15,5.240900039672852,-1.7485699427977064,0.09931640622331539,162.12366666666668,170.83300000000003,3,3. Colheita (Oferta Alta),2023
2023-03-23,147.66,5.236100196838379,-2.308964604697328,-0.09158432326773491,161.49233333333333,170.4187777777778,3,3. Colheita (Oferta Alta),2023
2023-03-24,145.86,5.2967000007629395,-1.2190166598943453,1.1573461478287195,160.80766666666665,169.985,3,3. Colheita (Oferta Alta),2023
2023-03-27,144.86,5.245100021362305,-0.6855889208830401,-0.9741910886627902,160.07699999999997,169.54422222222223,3,3. Colheita (Oferta Alta),2023
2023-03-28,145.16,5.1971001625061035,0.20709650697223747,-0.9151371501154748,159.32833333333335,169.11244444444444,3,3. Colheita (Oferta Alta),2023
2023-03-29,146.56,5.164400100708008,0.9644530173601673,-0.6291982216161007,158.62733333333333,168.71844444444446,3,3. Colheita (Oferta Alta),2023
2023-03-30,147.31,5.134200096130371,0.5117358078602585,-0.5847727516986256,157.99699999999999,168.33833333333334,3,3. Colheita (Oferta Alta),2023
2023-03-31,147.5,5.092700004577637,0.12897970266783076,-0.8083068594076148,157.39000000000001,167.96588888888888,3,3. Colheita (Oferta Alta),2023
2023-04-03,148.45,5.062300205230713,0.6440677966101704,-0.5969289241384401,156.80133333333333,167.6027777777778,4,3. Colheita (Oferta Alta),2023
2023-04-04,149.12,5.0630998611450195,0.4513304142809149,0.015796295792180892,156.225,167.25022222222222,4,3. Colheita (Oferta Alta),2023
2023-04-05,148.4,5.070700168609619,-0.4828326180257525,0.15011174326078347,155.63666666666666,166.88322222222223,4,3. Colheita (Oferta Alta),2023
2023-04-06,146.22,5.033199787139893,-1.4690026954177982,-0.7395503623320976,155.05566666666667,166.493,4,3. Colheita (Oferta Alta),2023
2023-04-10,143.48,5.0543999671936035,-1.8738886609219074,0.42120680581523295,154.38466666666667,166.07466666666667,4,3. Colheita (Oferta Alta),2023
2023-04-11,142.55,5.065299987792969,-0.6481739615277204,0.2156540968287768,153.659,165.6641111111111,4,3. Colheita (Oferta Alta),2023
2023-04-12,141.47,5.004000186920166,-0.7576289021396065,-1.2101909269052413,152.96966666666668,165.26811111111112,4,3. Colheita (Oferta Alta),2023
2023-04-13,140.0,4.916900157928467,-1.0390895596239513,-1.7406080283403624,152.25766666666667,164.8837777777778,4,3. Colheita (Oferta Alta),2023
2023-04-14,137.98,4.926700115203857,-1.4428571428571457,0.19931169966078688,151.45766666666668,164.45855555555556,4,3. Colheita (Oferta Alta),2023
2023-04-17,137.1,4.908699989318848,-0.6377735903754123,-0.36535866734532796,150.59833333333333,163.99122222222223,4,3. Colheita (Oferta Alta),2023
2023-04-18,137.67,4.939799785614014,0.41575492341356934,0.6335648208861455,149.77233333333334,163.53555555555556,4,3. Colheita (Oferta Alta),2023
2023-04-19,137.91,4.984300136566162,0.17432991937242903,0.9008533317837131,148.97166666666666,163.07466666666667,4,3. Colheita (Oferta Alta),2023
2023-04-20,136.85,5.0742998123168945,-0.7686172141251557,1.805663248295808,148.16,162.59588888888888,4,3. Colheita (Oferta Alta),2023
2023-04-24,133.86,5.047900199890137,-2.184873949579813,-0.5202611868277418,147.29766666666666,162.0822222222222,4,3. Colheita (Oferta Alta),2023
2023-04-25,131.27,5.033400058746338,-1.934857313611238,-0.28725094731695267,146.36200000000002,161.55755555555555,4,3. Colheita (Oferta Alta),2023
2023-04-26,130.24,5.053100109100342,-0.784642340214825,0.39138654039174714,145.39266666666666,161.00633333333332,4,3. Colheita (Oferta Alta),2023
2023-04-27,130.83,5.043000221252441,0.4530098280098205,-0.19987507925502968,144.44799999999998,160.47955555555555,4,3. Colheita (Oferta Alta),2023
2023-04-28,130.57,4.976200103759766,-0.19873117786441963,-1.3246106397371116,143.48099999999997,159.95455555555554,4,3. Colheita (Oferta Alta),2023
2023-05-02,131.53,4.9878997802734375,0.7352378034770624,0.23511266166391653,142.56866666666667,159.43833333333333,5,3. Colheita (Oferta Alta),2023
2023-05-03,131.61,5.038400173187256,0.060822626016898695,1.0124580512531844,141.73366666666666,158.93844444444446,5,3. Colheita (Oferta Alta),2023
2023-05-04,132.18,4.9944000244140625,0.43309778892179907,-0.8732960316917282,140.973,158.45788888888887,5,3. Colheita (Oferta Alta),2023
2023-05-05,132.58,4.982600212097168,0.3026176426085714,-0.23626085734449465,140.26433333333335,157.98888888888888,5,3. Colheita (Oferta Alta),2023
2023-05-08,133.96,4.951700210571289,1.0408809775229955,-0.6201581545887902,139.69133333333332,157.54144444444444,5,3. Colheita (Oferta Alta),2023
2023-05-09,134.82,5.007999897003174,0.6419826813974128,1.1369768773903388,139.26333333333335,157.09855555555558,5,3. Colheita (Oferta Alta),2023
2023-05-10,133.12,4.985899925231934,-1.2609405132769536,-0.4412933751149817,138.83866666666665,156.618,5,3. Colheita (Oferta Alta),2023
